Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
thyroid_disease_variant1ori,0.6434496519767133,0.3981148329586397,0.37798801798529363,0.6411072441857041,0.5341592955105486,0.43254140446294453,0.3366720334573585,0.5075866867594074,0.5068023090289708,0.49851280175926016,0.49534878412738925,0.3793918673486417,0.4892122598442976,0.5,0.5,0.5,0.5,0.41670589496143434,0.4236730937257635,0.3786036363279371,0.37700179656590843,0.4307024523615515,0.38019224727815354,0.44950131797253123,0.45410625754704936,0.4327005551683176,0.4190328241427042,0.3664063854991933,0.4817816067974985,0.48682615279645786,0.4827374927597412,0.458681070282051,0.4578287650163785,0.5,0.5,0.5,0.4995889005605678,0.5
german,0.4099295238095238,0.6036285714285714,0.5695714285714286,0.4067614285714286,0.5956885714285713,0.5191628571428571,0.55952,0.3686342857142857,0.5789605714285715,0.47622485714285717,0.5208527142857142,0.49599171428571426,0.5031419047619047,0.6075768571428571,0.5838708571428571,0.6124758571428571,0.5,0.6303114285714285,0.5652022857142857,0.5744522857142857,0.5812768571428572,0.5107437142857143,0.619232380952381,0.6013465714285714,0.5891948571428571,0.5954674285714286,0.5393511428571428,0.6087904761904762,0.5671231428571428,0.5393454285714285,0.5816727142857142,0.5556228571428572,0.6008023809523809,0.5037114285714286,0.5086114285714285,0.49321000000000004,0.49939857142857147,0.4853571428571428
hepatitis,0.19568822553897178,0.8557213930348258,0.8457711442786069,0.1840796019900497,0.3681592039800995,0.900497512437811,0.8208955223880597,0.1641791044776119,0.6054726368159205,0.6805970149253732,0.635323383084577,0.39701492537313426,0.6636815920398009,0.6069651741293532,0.7213930348258706,0.5671641791044776,0.5,0.6268656716417911,0.8393034825870647,0.8074626865671641,0.7850746268656716,0.6169154228855722,0.817910447761194,0.7446102819237147,0.7636815920398009,0.7636815920398009,0.7354892205638475,0.7437810945273632,0.36152570480928686,0.4121061359867329,0.3333333333333333,0.43864013266998336,0.4079601990049751,0.7835820895522387,0.6965174129353233,0.7985074626865671,0.5223880597014925,0.7388059701492538
lymphography,0.0093896713615023,0.9906103286384976,0.9976525821596244,0.0023474178403755,0.982394366197183,0.9741784037558686,0.9929577464788732,0.0704225352112675,0.721830985915493,0.8306338028169014,0.5868544600938967,0.6356807511737089,0.6343896713615024,0.9626760563380282,0.9730046948356808,0.9269953051643192,0.5,0.9190140845070423,0.9789906103286385,0.998943661971831,0.9967136150234742,0.8009389671361502,0.9954225352112676,0.9896042924211939,0.9954728370221329,0.9786217303822937,0.8419684775318578,0.9462608987256874,0.8127095908786048,0.723943661971831,0.9276492287055668,0.6784875922199866,0.857645875251509,0.4154929577464788,0.5985915492957746,0.4342723004694835,0.5522300469483568,0.3028169014084507
scenario-1-9-rcat-1-icat,1.3405996387275398e-06,1.0,0.999996361229552,0.5,0.9999787419200143,0.5,0.9999638038097544,0.0,0.7440935829197903,0.599881340972453,0.6530933794039975,0.6441937640156501,0.4613961023789132,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.9726362164141488,0.0,1.0,1.0,1.0,0.9963568311084486,0.0,0.9028489465951068,0.5957366697155733,0.9052477453667599,0.8032651453286614,0.2085596329361583,0.5,0.5,0.5,0.4738920773880931,0.5264646817110036
scenario-1-9-rcat-2-icat,1.3405996387275398e-06,1.0,0.999996297391474,0.5,0.9999855087562862,0.5,0.9999493764041184,0.0,0.7155090141919709,0.5481859867502792,0.6671805217000948,0.5783890358867032,0.4269593182910393,0.5,0.5,0.5,0.5,0.5,1.0,0.9999997382638801,1.0,0.9627702872304947,0.0,1.0,1.0,1.0,0.9913002648258828,0.0,0.9234106233711714,0.596518935140002,0.9337657341710932,0.8052961250541986,0.12252148023649707,0.5,0.5,0.5,0.478666048458719,0.5128640749428394
scenario-1-9-rcat-3-icat,1.3405996387275398e-06,1.0,0.99999642506763,0.5,0.9999894667171244,0.5,0.99993731100737,0.0,0.7066031011772252,0.5430147864309867,0.6294484894378624,0.5325091773620982,0.43379769151295733,0.5,0.5,0.5,0.5,0.5,1.0,0.9999936481112355,1.0,0.9573876296615202,0.0,1.0,1.0,1.0,0.9885912193787891,0.0,0.9449680273369971,0.5975276852976821,0.9435784575086092,0.8109081943323023,0.08511502855604905,0.5,0.5,0.5,0.4760136401544575,0.5112681229919731
scenario-1-9-rcat-4-icat,1.3405996387275398e-06,1.0,0.9999966165818642,0.5,0.999994446087211,0.5,0.9999253094486994,0.0,0.7218332036143588,0.5598717735596981,0.6219578123507785,0.574504523949238,0.43282515988885023,0.5,0.5,0.5,0.5,0.5,1.0,0.9999863003484538,1.0,0.9429266483885481,4.4686654624253254e-08,1.0,1.0,1.0,0.9885761089057183,0.0,0.9459427390314691,0.5992547989636782,0.951100383334891,0.816445419847718,0.0710668274875528,0.5,0.5,0.5,0.4749539918971604,0.5005364952078032
scenario-1-9-rcat-5-icat,1.3405996387275398e-06,1.0,0.999996361229552,0.5,0.9999947652776012,0.5,0.9999185426124276,0.0,0.7180964832113516,0.5813676056992593,0.6275196346776611,0.580515102429473,0.5515132784479073,0.5,0.5,0.5,0.5,0.5,1.0,0.9999903732178324,1.0,0.9360244402804995,0.9999999808485767,1.0,1.0,1.0,0.9878042458961053,1.0,0.9502354412155996,0.5993697138879484,0.9645653341872314,0.8237668717656439,0.9350664924653194,0.5,0.5,0.5,0.4694231565733558,0.4769621782369351
scenario-1-9-rcat-6-icat,1.3405996387275398e-06,1.0,0.9999968080960984,0.5,0.9999948929537572,0.5,0.99991522303237,0.0,0.7053110408211313,0.6277334284009991,0.6914052273937875,0.5202324829590634,0.5626159235659032,0.5,0.5,0.5,0.5,0.5,1.0,0.9999729135034899,0.999999674425802,0.9282764350927618,0.9999999872323844,1.0,1.0,1.0,0.9876667099488836,1.0,0.9478577728477757,0.6021305767029829,0.9622556023020522,0.8327785900109239,0.9361103663335341,0.5,0.5,0.5,0.4819193965105596,0.4849782618576676
scenario-1-9-rcat-7-icat,1.021409248554334e-06,1.0,0.9999968719341764,0.5,0.9999950206299132,0.5,0.9999022000644509,0.0,0.6926999721410627,0.49874458908450575,0.6098567269247053,0.5813787103329335,0.5762168367568418,0.5,0.5,0.5,0.5,0.5,1.0,0.9999826615780059,0.9999996169715318,0.909137396269507,0.9999998659400362,1.0,1.0,1.0,0.9873032733868244,0.9999999872323844,0.9484094934371903,0.6025468073555766,0.9691154378858056,0.8412510648191416,0.9419895532815581,0.5,0.5,0.5,0.4838218989121481,0.4791604424540583
scenario-1-9-rcat-8-icat,9.894902095369757e-07,1.0,0.9999968080960984,0.5,0.999996233553396,0.5,0.9998852829737718,0.0,0.7025083449135606,0.594717727808735,0.609513080166837,0.5330107052626579,0.5808397094805674,0.5,0.5,0.5,0.5,0.5,0.9999999489295377,0.9999141505526591,0.9999970825998338,0.7984437808689027,0.9999997957181502,1.0,1.0,1.0,0.9574097048689048,0.9999984423508959,0.9465811453470467,0.6034341055697957,0.9727294072404638,0.9331871632860574,0.9454521497855806,0.5,0.5,0.5,0.4959245132601902,0.4864058727967564
scenario-1-9-rcat-9-icat,1.021409248554334e-06,1.0,0.9999969357722543,0.5,0.999996169715318,0.5,0.9998653016553468,0.0,0.7083030453572098,0.6526357337982789,0.6414580597871689,0.5133762638024308,0.5661985739594776,0.5,0.5,0.5,0.5,0.5,0.9999999297781141,0.9999078561181648,0.9999996233553397,0.7954211372472715,0.9999995722848771,1.0,1.0,1.0,0.9595588520687878,0.9999912414156936,0.9476848227267644,0.6042481623570857,0.9764660989163358,0.9149962475977731,0.9471076498956374,0.5,0.5,0.5,0.4862470117395672,0.492467394063263
KDDTrain20ProbeFS,0.055056656116316736,0.7949500403787446,0.6315507695512075,0.0815288772259755,0.3886448233267102,0.9382582505675452,0.8596865507580195,0.1190089960419052,0.604677330449309,0.5806336550736905,0.5661094218012608,0.5667988700643153,0.6177483008557383,0.5,0.5,0.5,0.5,0.5,0.9289383276355467,0.9154000740821084,0.9300263010000306,0.9032593837580872,0.9139161678078318,0.7994074763159604,0.7703664420198033,0.7821690982106374,0.7927232568087828,0.7815923063362422,0.3691726744281042,0.4029927258490004,0.37137689488640174,0.38589367641996636,0.3689775535369594,0.5029536854289692,0.5039031487039969,0.5020668830269626,0.5026215405732726,0.5017539847069139
KDDTrain20R2LFS,0.22774745674281446,0.7893461874736236,0.5729165590838754,0.1611191934228778,0.6712738811538099,0.6564176622155586,0.8545137584292971,0.1893581180341997,0.5121751370678955,0.5828700298976287,0.5197266655151598,0.5941880007051495,0.6343780171408323,0.5,0.5,0.5,0.5,0.5,0.8847463153264968,0.8497035344730877,0.8477574285546392,0.9200108799589731,0.834188160966411,0.830145054248437,0.812375980042131,0.7924263376918461,0.8169793067097828,0.8171623606839951,0.5893231454655857,0.6630074628327425,0.5372687563548042,0.4773152321206304,0.5729403133641866,0.4918386062256158,0.4940158444967173,0.4907580891871727,0.4966564158815348,0.4934641896211245
Average AUC,0.103±0.19,0.895±0.18,0.866±0.21,0.398±0.19,0.836±0.25,0.595±0.18,0.895±0.2,0.095±0.16,0.663±0.08,0.59±0.09,0.605±0.06,0.542±0.08,0.542±0.08,0.545±0.12,0.552±0.13,0.54±0.11,0.5±0.0,0.54±0.12,0.908±0.18,0.902±0.19,0.901±0.19,0.826±0.17,0.637±0.43,0.894±0.18,0.892±0.18,0.89±0.18,0.866±0.18,0.618±0.42,0.776±0.23,0.575±0.08,0.788±0.25,0.705±0.19,0.564±0.34,0.513±0.08,0.52±0.06,0.515±0.08,0.493±0.02,0.5±0.08
Average Rank,33.933±9.16,5.067±8.01,11.067±8.2,26.733±9.6,12.133±8.32,19.467±8.45,11.933±8.22,34.933±8.61,17.933±4.91,21.533±5.57,20.133±3.58,23.467±5.38,24.867±6.37,20.733±6.8,20.667±5.94,20.933±7.07,23.867±5.74,22.2±6.43,5.533±7.89,9.733±7.9,6.933±8.96,16.133±7.1,15.667±14.39,5.067±6.52,5.4±6.7,5.867±7.08,14.467±5.38,17.333±14.52,18.333±6.85,21.333±4.32,17.2±7.32,20.8±6.59,23.467±9.15,22.933±7.22,22.867±5.73,23.267±7.81,30.733±5.96,27.133±9.37
